depot	gene_set	model	n	peri_vs_pre_est	peri_vs_pre_p	post_vs_pre_est	post_vs_pre_p	post_vs_peri_est	post_vs_peri_p	cibersort_covariates	peri_vs_pre_p_fmt	post_vs_pre_p_fmt	post_vs_peri_p_fmt
subcutaneous	HALLMARK_TNFA_SIGNALING_VIA_NFKB	base	233	0.11993805388417643	0.06252285444603128	0.10500229852745321	0.10668690606666778	-0.014935755356723215	0.8162729705379466		0.0625	0.1067	0.8163
subcutaneous	HALLMARK_TNFA_SIGNALING_VIA_NFKB	adj_cibersort	233	0.15577143332226911	0.014003035139690761	0.14577071397709288	0.023454918759311594	-0.01000071934517624	0.8718207664789455	adipocyte,aspc,macrophage,endothelial,t_cell	0.0140	0.0235	0.8718
visceral	HALLMARK_ADIPOGENESIS	base	180	-0.06039775521073574	0.5068329868263707	-0.07618567120840175	0.4055503065978975	-0.015787915997666012	0.8705581671813367		0.5068	0.4056	0.8706
visceral	HALLMARK_ADIPOGENESIS	adj_cibersort	180	-0.1184254358641813	0.10375163839549717	-0.017260108626437065	0.8135774540342235	0.10116532723774424	0.19132014660782384	adipocyte,aspc,macrophage,endothelial,t_cell	0.1038	0.8136	0.1913
visceral	HALLMARK_GLYCOLYSIS	base	180	0.013893660271150262	0.7711605731029783	-0.044966328196723415	0.35009414844699605	-0.05885998846787368	0.24830860324641763		0.7712	0.3501	0.2483
visceral	HALLMARK_GLYCOLYSIS	adj_cibersort	180	-0.013012873898075242	0.7522530888361274	-0.03012464003257425	0.46934961394436625	-0.01711176613449901	0.6967541578322343	adipocyte,aspc,macrophage,endothelial,t_cell	0.7523	0.4693	0.6968
visceral	HALLMARK_HYPOXIA	base	180	0.014164328066461424	0.7698016359610618	-0.0034402660230167257	0.9436850750377128	-0.01760459408947815	0.7328358855179473		0.7698	0.9437	0.7328
visceral	HALLMARK_HYPOXIA	adj_cibersort	180	0.001464812520613998	0.9758768522594736	-0.006430726860662525	0.8953675336737527	-0.007895539381276523	0.8783789999687501	adipocyte,aspc,macrophage,endothelial,t_cell	0.9759	0.8954	0.8784
visceral	HALLMARK_INFLAMMATORY_RESPONSE	base	180	0.07157059895167767	0.27307032865358283	-0.0017377384427277392	0.9788664102327262	-0.07330833739440541	0.2919681975176842		0.2731	0.9789	0.2920
visceral	HALLMARK_INFLAMMATORY_RESPONSE	adj_cibersort	180	0.05363260646365719	0.3922566505489937	0.00901811809791772	0.8865526405219422	-0.04461448836573947	0.5038353719443998	adipocyte,aspc,macrophage,endothelial,t_cell	0.3923	0.8866	0.5038
visceral	HALLMARK_OXIDATIVE_PHOSPHORYLATION	base	180	-0.09699105096457997	0.42769217922566183	-0.10333434061966677	0.4011104236813755	-0.006343289655086806	0.9611345953569239		0.4277	0.4011	0.9611
visceral	HALLMARK_OXIDATIVE_PHOSPHORYLATION	adj_cibersort	180	-0.1564952341333959	0.11902748529169921	-0.01995348266250996	0.8433533880942025	0.13654175147088593	0.20107759224600324	adipocyte,aspc,macrophage,endothelial,t_cell	0.1190	0.8434	0.2011
visceral	HALLMARK_TNFA_SIGNALING_VIA_NFKB	base	180	-0.003605207973220644	0.9677508000623847	-0.03377700420762465	0.706667828401726	-0.03017179623440401	0.7508455297729274		0.9678	0.7067	0.7508
visceral	HALLMARK_TNFA_SIGNALING_VIA_NFKB	adj_cibersort	180	-0.028197068998514666	0.7426817689994475	-0.01755574586243957	0.8395046178947965	0.010641323136075097	0.9073800853310224	adipocyte,aspc,macrophage,endothelial,t_cell	0.7427	0.8395	0.9074
