gene_symbol	direction_in_post	source	notes	log2FoldChange	padj
NNAT	down	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	-1.012554327535281	0.00350153052670191
ACAN	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.2426214696860425	0.0197697097507762
CEMIP	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.4236137832209137	0.00247560325331571
COL11A1	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.236640904480705	0.0135256410356419
DACT2	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.9603071808640609	0.00141478297491263
HSD17B2	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.2601751971050517	0.04587826007892551
MMP3	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.4162890435993374	0.0298708852301655
PCSK9	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.3995467178259935	0.00548577390209329
RXFP1	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.0298136827753832	0.03349213855722459
SCG2	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.4442432075008662	0.00141478297491263
SFRP2	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.509124405832689	0.00141478297491263
STRA6	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.635734880532598	7.346465293469194e-4
XDH	up	Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.22421374885124	0.02879096622395388
