gene_symbol	direction_in_post	evidence_summary	evidence_context	key_PMIDs	key_DOIs	source	notes	log2FoldChange	padj
NNAT	down	Neuronatin is implicated in adipocyte biology and obesity-related adipose regulation.	Adipose-enriched gene with reported links to adipose tissue function and obesity; included as the main “down in post” adipocyte-associated component.	21894612		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	-1.012554327535281	0.00350153052670191
ACAN	up	Aggrecan (ACAN) is an extracellular matrix proteoglycan implicated in adipose tissue development and obesity.	ECM remodeling is a recurring adipose-aging/menopause theme; ACAN provides a proteoglycan component of the remodeling program.	17011710		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.2426214696860425	0.0197697097507762
CEMIP	up	CEMIP regulates adipogenesis and whole-body energy metabolism through WNT/β-catenin signaling.	Links menopause-associated adipose remodeling to Wnt signaling and adipogenesis.	40169533		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.4236137832209137	0.00247560325331571
COL11A1	up	COL11A1 is a stromal/ECM gene frequently used as a fibrosis/activated fibroblast marker; adipose-derived stromal cells can upregulate COL11A1 in activated states.	Supports an “ECM remodeling / stromal activation” component of the menopause-associated adipose program.	34283835		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.236640904480705	0.0135256410356419
DACT2	up	DACT2 can inhibit Wnt/β-catenin signaling.	Wnt signaling is a key regulator of adipogenesis; DACT2 provides an interpretable Wnt-modulating component within the signature.	21799904		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.9603071808640609	0.00141478297491263
HSD17B2	up	HSD17B2 participates in estrogen metabolism in adipose tissue and has been studied in the context of adiposity/insulin resistance.	Adipose is a key site of local sex-steroid metabolism post-menopause; HSD17B2 anchors a hormone-metabolism axis.	36267004		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.2601751971050517	0.04587826007892551
MMP3	up	MMP3 is an extracellular matrix remodeling protease; estrogen signaling and adipose tissue remodeling/obesity contexts have been linked to MMP expression patterns.	ECM remodeling/fibrosis and inflammation are common in aging/menopause adipose; MMP3 provides a protease component of that program.	22927007;26667911		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.4162890435993374	0.0298708852301655
PCSK9	up	PCSK9 is a lipid metabolism regulator; circulating PCSK9 levels show menopause-associated differences in some cohorts.	While PCSK9 is best known systemically (liver/plasma), it provides a menopause-associated lipid-risk axis marker potentially relevant to postmenopausal cardiometabolic risk.	30467088		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.3995467178259935	0.00548577390209329
RXFP1	up	RXFP1 (relaxin receptor) expression can be regulated by estrogen.	Hormone-receptor axis gene; included as a mechanistically interpretable endocrine-responsive component.	19416165;36308270		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.0298136827753832	0.03349213855722459
SCG2	up	SCG2 has estrogen-dependent expression reported in experimental systems.	Neuroendocrine/secretory granule-associated gene; included as a hormone-responsive component (with caution about tissue context).	22107517		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.4442432075008662	0.00141478297491263
SFRP2	up	SFRP2 in adipose tissue is linked to fat distribution and estrogen status.	Supports a Wnt/adipose remodeling axis and provides a direct estrogen/fat distribution connection in adipose.	23393180		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.509124405832689	0.00141478297491263
STRA6	up	STRA6 (retinol uptake receptor) in adipose is linked to insulin responses and diet-induced obesity.	Retinoid signaling intersects with adipogenesis and insulin sensitivity; STRA6 provides an adipose-metabolic axis component.	24421389		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.635734880532598	7.346465293469194e-4
XDH	up	Xanthine oxidoreductase (XDH/XOR) has been implicated in adipogenesis and adipose oxidative/metabolic states.	Provides an oxidative stress/purine metabolism axis component that may track metabolic remodeling in adipose with aging/menopause.	17276354		Curated_v2_from_Approach1_direction_plus_biological_interpretability	Curated set intended for a SenMayo-like menopause signature; designed to avoid lncRNA/pseudogene/keratin/blood-heavy markers and focus on interpretable adipose-relevant biology.	1.22421374885124	0.02879096622395388
